,title,year,link,rating,votes,genre,runtime
0,Замок дьявола,1896,/title/tt0000091/,6.7,2359,"Short, Horror",3 min
1,Прибытие поезда на вокзал города Ла-Сьота,1896,/title/tt0000012/,7.4,9077,"Documentary, Short, Action",1 min
2,Сцена в саду Роундхэй,1888,/title/tt0392728/,7.5,4872,"Documentary, Short",1 min
3,Карменсита,1894,/title/tt0000001/,5.8,1507,"Documentary, Short",1 min
4,Транзит Венеры,1874,/title/tt3155794/,7.0,929,"Documentary, Short",1 min
5,Луна всего лишь в метре,1898,/title/tt0000211/,7.5,2896,"Short, Comedy, Fantasy",3 min
6,Sallie Gardner at a Gallop,1878,/title/tt2221420/,7.4,1801,"Documentary, Short",1 min
7,Выход рабочих с фабрики 'Люмьер',1895,/title/tt0000010/,6.9,5374,"Documentary, Short",1 min
8,Rapunzel,1897,/title/tt2271557/,6.9,18,"Short, Fantasy",
9,Дело Дрейфуса,1899,/title/tt0000218/,6.0,433,"Short, Biography, Drama",13 min
10,Политый поливальщик,1895,/title/tt0000014/,7.2,3964,"Comedy, Short",1 min
11,Буйвол бежит,1883,/title/tt5459794/,6.4,527,"Documentary, Short",1 min
12,Золушка,1899,/title/tt0000230/,6.5,1171,"Short, Drama, Family",6 min
13,Танец огня,1899,/title/tt0000235/,6.3,459,"Short, Adventure, Fantasy",1 min
14,A Gay Old Boy,1899,/title/tt0253097/,6.5,30,"Short, Comedy",
15,Поцелуй,1896,/title/tt0139738/,5.9,2710,"Short, Romance",1 min
16,Король Джон,1899,/title/tt0000247/,5.0,360,"Short, Drama",5 min
17,У человека несколько голов,1898,/title/tt0135696/,7.6,2585,"Short, Comedy, Horror",1 min
18,Ночной кошмар,1896,/title/tt0222946/,6.6,1113,"Short, Horror",1 min
19,Казнь Марии Шотландской,1895,/title/tt0132134/,6.7,1689,"Short, History",1 min
20,"Чeловек, поворачивающий за угол",1887,/title/tt2075247/,5.2,911,"Documentary, Short",1 min
21,Бедный Пьеро,1892,/title/tt0000003/,6.6,1155,"Animation, Comedy, Short",4 min
22,Мария отходит ко сну,1896,/title/tt1728115/,5.4,107,Short,7 min
23,Капустная фея,1896,/title/tt0223341/,5.3,824,"Short, Family, Fantasy",1 min
24,Сцена в кузне,1893,/title/tt0000005/,6.2,1854,"Short, Comedy",1 min
25,Athlete Swinging a Pick,1881,/title/tt7816420/,5.0,96,"Documentary, Short",1 min
26,Движение транспорта по мосту Лидс,1888,/title/tt0343112/,6.8,2494,"Documentary, Short",
27,Полная кружка пива,1892,/title/tt0000004/,6.3,112,"Animation, Short",
28,"Чих, записанный на кинетоскоп Эдисона",1894,/title/tt0000008/,5.6,1606,"Documentary, Short",1 min
29,Blackfriars Bridge,1896,/title/tt1319060/,5.5,208,"Documentary, Short",1 min
30,Заколдованная гостиница,1897,/title/tt0000138/,6.5,700,"Short, Comedy, Horror",2 min
31,Исчезновение дамы в театре Робера Удена,1896,/title/tt0000075/,6.4,1334,"Short, Horror",1 min
32,Ужасная ночь,1896,/title/tt0000131/,5.8,912,"Short, Comedy, Horror",1 min
33,Séance de prestidigitation,1896,/title/tt0000123/,5.6,61,Short,
34,Клоун и его собаки,1892,/title/tt0000002/,6.3,183,"Animation, Short",5 min
35,Шалости,1890,/title/tt0361921/,5.1,1122,"Documentary, Short",1 min
36,Miss Jerry,1894,/title/tt0000009/,5.5,80,Romance,45 min
37,Дьявол в монастыре,1899,/title/tt0000242/,6.4,745,"Short, Fantasy, Horror",3 min
38,Замок с привидениями,1897,/title/tt1213033/,6.4,787,"Short, Horror",3 min
39,Child Bringing Bouquet to Woman,1887,/title/tt7411790/,6.3,89,Short,1 min
40,Вoкруг кабинки,1894,/title/tt0000015/,6.2,715,"Animation, Short",2 min
41,Санта Клаус,1898,/title/tt0242849/,6.4,625,"Short, Family, Fantasy",1 min
42,Завтрак младенца,1895,/title/tt0000029/,5.9,2564,"Documentary, Short",1 min
43,После бала,1897,/title/tt0222735/,5.4,1043,Short,1 min
44,Трафальгарская площадь в Лондоне,1890,/title/tt1202028/,5.6,615,"Documentary, Short",1 min
45,Рентгеновский бес,1897,/title/tt0000172/,6.1,509,"Short, Comedy, Horror",1 min
46,The Burglar on the Roof,I) (1898,/title/tt0000177/,4.7,163,"Short, Crime",1 min
47,Réunion d'officiers,1896,/title/tt0000115/,5.3,15,"Documentary, Short",
48,Аккордеонист,1888,/title/tt1758563/,5.5,940,"Documentary, Short",1 min
49,L'homme machine,1885,/title/tt8588366/,4.9,54,"Animation, Short",1 min
50,Лодка выходит из порта,1895,/title/tt0000016/,5.9,1040,"Documentary, Short",1 min
51,Искушение Святого Антония,1898,/title/tt0224240/,6.0,620,"Short, Drama",1 min
52,Механическая колбасная,1895,/title/tt0212052/,6.0,639,"Short, Comedy, Sci-Fi",1 min
53,Прибытие делегатов на фотоконгресс в Лионе,1895,/title/tt0000013/,5.8,1401,"Documentary, Short",1 min
54,An Execution by Hanging,1898,/title/tt0235375/,,,"Documentary, Short",
55,Шляпы для преображения,1895,/title/tt0221874/,6.3,924,"Short, Comedy",1 min
56,Поцелуй в тоннеле,I) (1899,/title/tt0000248/,6.0,1145,"Short, Comedy, Romance",1 min
57,The Biter Bit,1899,/title/tt0245776/,5.2,272,"Comedy, Short",1 min
58,Спортсмен из Ньюарка,1891,/title/tt0241763/,4.9,1291,"Documentary, Short",1 min
59,Танец серпантин,II) (1897,/title/tt1219047/,6.9,596,Short,1 min
60,Корбетт и Кортни перед кинематографом,1894,/title/tt0000007/,5.5,602,"Short, Sport",1 min
61,Разрушение стены,1896,/title/tt0000070/,6.4,2016,"Documentary, Short",1 min
62,Tossing a Nigger in a Blanket,1898,/title/tt0227672/,7.5,1902,"Documentary, Short",1 min
63,Экспериментальный звуковой фильм Диксона,1894,/title/tt0177707/,6.8,1804,"Short, Music",1 min
64,The Passion Play of Oberammergau,1898,/title/tt0151913/,6.2,17,"Short, Drama",
65,Бой Корбетта и Фитцсиммонса,1897,/title/tt0000147/,5.2,293,"Documentary, News, Sport",20 min
66,Энни Окли,1894,/title/tt0229220/,6.3,975,"Documentary, Short",1 min
