,title,year,link,rating,votes,genre,runtime
0,Шестое чувство,1999,/title/tt0167404/,8.1,841690,"Drama, Mystery, Thriller",107 min
1,Разум и чувства,1995,/title/tt0114388/,7.7,91830,"Drama, Romance",136 min
2,Коррида любви,1976,/title/tt0074102/,6.6,16311,"Drama, Romance",109 min
3,Последняя любовь на Земле,2011,/title/tt1439572/,7.1,51050,"Drama, Romance, Sci-Fi",92 min
4,Разум и чувства,2008,/title/tt0847150/,8.0,9377,"Drama, Romance",174 min
5,Предчувствие конца,2017,/title/tt4827986/,6.3,4974,"Drama, Mystery",108 min
6,The Sixth Sense,1972,/title/tt0068132/,6.4,331,"Drama, Mystery, Thriller",60 min
7,Stop Making Sense,1984,/title/tt0088178/,8.5,10809,"Documentary, Music",88 min
8,Снежное чувство Смиллы,1997,/title/tt0120152/,6.4,12871,"Action, Drama, Mystery",121 min
9,The Sexy Sixth Sense,2001 Video,/title/tt0304694/,4.5,353,"Comedy, Fantasy",69 min
10,Вкус чудес,2015,/title/tt4084056/,6.8,2067,"Comedy, Drama, Romance",100 min
11,Sense and Sensibility,1981– ,/title/tt0089991/,6.8,786,"Drama, Romance",174 min
12,Каникулы на ранчо,1999 TV Movie,/title/tt0219813/,6.4,1404,"Drama, Family",92 min
13,Sense and Sensibility: Deleted Scenes,2002 Video,/title/tt4290888/,8.0,176,"Short, Romance",3 min
14,Пять чувств,1999,/title/tt0168794/,6.8,2928,"Comedy, Drama, Music",106 min
15,The 6th Sense,2011 Video,/title/tt2016299/,7.1,13,"Short, Comedy, Music",13 min
16,A Sense of Freedom,1979,/title/tt0194350/,7.2,381,"Crime, Drama, Thriller",81 min
17,The Seventh Sense,1999,/title/tt0218599/,4.3,149,Drama,98 min
18,Dark Sense,2019,/title/tt4082314/,,,Thriller,93 min
19,Sense and Sensibility,1971– ,/title/tt0254768/,6.8,122,"Drama, Romance",178 min
20,La vida sense la Sara Amat,2019,/title/tt9914942/,,,,
21,5 чувств страха,2013,/title/tt2425886/,4.9,1106,Horror,88 min
22,The Sixth Sense: Reaching the Audience,2000 Video,/title/tt5447508/,8.1,40,Short,4 min
23,Граница пустоты: Сад грешников (фильм третий),2008,/title/tt1155652/,7.4,1145,"Animation, Action, Crime",58 min
24,Пять чувств Эроса,2009,/title/tt1587422/,5.2,329,Drama,130 min
25,Vitamania: The Sense and Nonsense of Vitamins,2018,/title/tt8232232/,6.7,367,Documentary,90 min
26,Sensi,1986,/title/tt0091921/,5.4,104,Thriller,89 min
27,A Sense of Purpose: Fighting for Our Lives,2019,/title/tt5792164/,,,Drama,90 min
28,Sensing Murder,2004– ,/title/tt0805944/,6.4,89,"Crime, Reality-TV",90 min
29,A Sense of Guilt,1990– ,/title/tt0156061/,8.4,48,Drama,50 min
30,Смысл истории,1992 TV Short,/title/tt0105355/,8.2,919,"Short, Comedy, Drama",25 min
31,Sense of Urgency,2017,/title/tt5983362/,5.7,29,Drama,92 min
32,Senses 1&2,2018,/title/tt10174382/,,,Drama,139 min
33,Coming to My Senses,2017,/title/tt6005298/,7.3,40,"Documentary, Adventure, Biography",85 min
34,G.K. Chesterton: The Apostle of Common Sense,2000– ,/title/tt1328189/,8.1,47,"Comedy, History",30 min
35,Seven Senses of the Re'Union,2018– ,/title/tt8343748/,4.9,60,"Animation, Action, Adventure",24 min
36,Sense & Sensibility,2014,/title/tt3347696/,5.3,11,Romance,165 min
37,Sensing Murder,2006– ,/title/tt0805945/,6.0,43,"Crime, Mystery",
38,Grizzly Bear: Losing All Sense,2017 TV Movie,/title/tt7483144/,,,Music,
39,Syxx Sense Interviews,2016– ,/title/tt8199768/,,,Talk-Show,30 min
40,Making Sense of the Sixties,1991– ,/title/tt0318906/,8.7,44,Documentary,
41,Senses 5,2018,/title/tt10174546/,,,Drama,75 min
42,Ayn Rand: A Sense of Life,1997,/title/tt0118662/,6.7,514,"Documentary, Biography",145 min
43,A Sense of Loss,1972,/title/tt0069247/,7.8,40,Documentary,135 min
44,Senses 3&4,2018,/title/tt10174464/,,,Drama,85 min
45,The Sixth Sense: The Actors,2000 Video,/title/tt5447522/,7.1,7,Short,7 min
46,3.11 Sense of Home,2011,/title/tt1939641/,6.5,23,"Documentary, Animation, Drama",75 min
47,Senses,I) (2016,/title/tt5050944/,6.2,11,"Short, Drama",29 min
48,El sexto sentido,1929,/title/tt0020389/,7.0,75,Drama,70 min
49,A Sense of Self,2016 TV Movie,/title/tt6413174/,,,Documentary,55 min
50,Four Senses,2013,/title/tt2330852/,7.4,22,"Comedy, Drama, Romance",
51,The Seventh Sense,2001,/title/tt0433693/,6.6,52,Short,12 min
52,Sense Appeal,2018– ,/title/tt9153436/,,,Reality-TV,
53,Waking Up with Sam Harris,2014– ,/title/tt7735484/,8.8,19,"News, Talk-Show",
54,Den 6. sans,2002– ,/title/tt0341131/,3.2,16,"Family, Game-Show",42 min
55,Perfect Sense,2003,/title/tt0398261/,9.2,25,"Comedy, Short",18 min
56,Felipe Neto: Minha Vida Não Faz Sentido,2017 TV Special,/title/tt6690322/,4.6,150,"Documentary, Comedy",87 min
57,'The Sixth Sense': Reflections from the Set,2002 Video,/title/tt0372529/,6.1,74,"Documentary, Short",39 min
58,I Make Sense of Humour,2010– ,/title/tt1732318/,7.2,29,Comedy,
59,Perfect Sense,2016 TV Movie,/title/tt5821414/,8.8,11,Drama,72 min
60,Making Sense Together,2018,/title/tt8745206/,,,Documentary,67 min
61,Sixth Sense,1985– ,/title/tt3204336/,,,Talk-Show,
62,Uncommon Sense with Charlamagne,2015– ,/title/tt4878206/,6.5,18,Talk-Show,
63,Sense sostre,,/title/tt8090732/,,,Drama,
64,Sense Of Sin,2018,/title/tt7679406/,,,"Short, Drama, Horror",25 min
65,Sense Memory,2006,/title/tt0768810/,4.7,42,"Short, Drama",10 min
66,Barney's Sense-Sational Day,1997 Video,/title/tt9217216/,,,Family,52 min
67,Sense of Morning,2010,/title/tt1730247/,5.6,7,"Short, Drama, News",10 min
68,Lost in a Sense,2016,/title/tt4512856/,,,"Short, Drama",33 min
69,A Sense of Wonder,2008 Video,/title/tt1414803/,8.3,13,Biography,55 min
70,An Assault on the Senses,2019,/title/tt10045036/,,,"Short, Drama",21 min
71,Di liu gan,2003,/title/tt5968430/,,,"Action, Crime, Drama",81 min
72,Malignant Spirits: Sense of Fiction,2014,/title/tt4815968/,,,"Drama, Horror, Mystery",70 min
73,Life Makes Sense If You're Famous,2002,/title/tt0331556/,6.9,78,Short,7 min
74,Bear in the Big Blue House: Bear's Sense of Adventure,1999 Video Game,/title/tt5666504/,,,Adventure,
75,Acid - Delirio dei sensi,1968,/title/tt0062634/,5.9,43,Drama,92 min
76,A Sense of an Ending,2018,/title/tt8550332/,,,Short,16 min
77,Four Senses,2015– ,/title/tt5240892/,,,,
78,Uncommon Sense,2005 TV Movie,/title/tt0790767/,7.2,9,Comedy,30 min
79,Sense,,/title/tt10288038/,,,Thriller,
80,Уникальные способности животных,2014– ,/title/tt4012354/,8.2,30,Documentary,
81,Le sens de l'humour,2013,/title/tt2991026/,6.3,68,"Drama, Romance",87 min
82,Sense & Sensibility: Interview Featurette,2007 Video,/title/tt5649752/,,,"Documentary, Short",30 min
